,Street_Address,City,Zipcode,Bed,Bath,Floor_Area(sq.ft),Price($),Estimated_mortgage/mo($),Elementary_School,Middle_school,High_School,Crime,Commute_By_Car(%),Restaurants,Groceries,Nightlife,Year_Built,lot_Size(sq.ft),Property_Tax_2020,Property_Assessment($)
142,135 Alpha St,San Francisco,94134,2,1.0,1110.0,798000.0,3127.0,1.0,1.0,,Lowest,71.0,73.0,34.0,10.0,1962,2326.0,2234.0,116146.0
143,917 Bryant St,San Francisco,94103,2,2.0,3550.0,3488000.0,13414.0,1.0,1.0,,Highest,32.0,1591.0,205.0,589.0,1924,2265.0,,
144,528 Noe St,San Francisco,94114,4,5.0,,3600000.0,13842.0,1.0,1.0,,Moderate,51.0,782.0,155.0,269.0,,0.0,,
145,2346 41st Ave,San Francisco,94116,3,2.0,1174.0,1195000.0,4645.0,1.0,1.0,,Lowest,67.0,100.0,16.0,17.0,1955,2996.0,1668.0,73260.0
146,1282 Stanyan St,San Francisco,94117,3,2.0,1977.0,2185000.0,8431.0,1.0,1.0,,Lowest,40.0,305.0,54.0,82.0,1907,2250.0,24014.0,1942009.0
147,123 Bernard St,San Francisco,94109,3,2.0,2100.0,1777888.0,6874.0,1.0,1.0,,Lowest,34.0,1811.0,340.0,596.0,1951,1380.0,7319.0,555968.0
148,51 Verna St,San Francisco,94127,2,1.0,1085.0,1198000.0,4657.0,1.0,1.0,,Lowest,71.0,163.0,31.0,24.0,1959,2617.0,13525.0,1073812.0
149,1507 Diamond St,San Francisco,94131,4,3.0,2130.0,2395000.0,9234.0,1.0,1.0,,Lowest,59.0,381.0,94.0,106.0,1912,2622.0,21369.0,1717116.0
150,898 Francisco St,San Francisco,94109,6,7.0,6305.0,9950000.0,38126.0,1.0,1.0,,Low,34.0,986.0,232.0,344.0,1914,5832.0,104186.0,8684043.0
151,3755 20th St,San Francisco,94110,4,3.0,3900.0,4195000.0,16118.0,1.0,1.0,,Lowest,40.0,824.0,154.0,303.0,1889,0.0,24806.0,2015066.0
152,114 College Ave,San Francisco,94112,3,2.0,1950.0,1475000.0,5716.0,1.0,1.0,,Low,62.0,310.0,74.0,64.0,1916,1950.0,,
153,148 Huntington Dr,San Francisco,94132,3,1.0,1215.0,1195000.0,4645.0,1.0,1.0,,Lowest,68.0,111.0,17.0,14.0,1953,3545.0,3970.0,249573.0
154,1370 Quesada Ave,San Francisco,94124,4,2.0,1211.0,860000.0,3364.0,1.0,2.0,,Moderate,64.0,143.0,52.0,14.0,1955,2495.0,1656.0,52541.0
155,722 Madrid St,San Francisco,94112,4,3.0,2119.0,1249000.0,4851.0,1.0,1.0,,Lowest,62.0,147.0,31.0,23.0,1928,2495.0,5466.0,401359.0
156,1858 Church St,San Francisco,94131,5,5.0,3637.0,4750000.0,18240.0,1.0,1.0,,Lowest,59.0,419.0,100.0,95.0,,3123.0,27915.0,2263300.0
157,3311 Jackson St,San Francisco,94118,3,3.0,3026.0,5995000.0,23001.0,1.0,1.0,,Lowest,49.0,476.0,80.0,141.0,1928,2495.0,64968.0,5355000.0
158,278 Monterey Blvd #280,San Francisco,94131,8,6.0,4262.0,2998000.0,11540.0,1.0,1.0,,Lowest,59.0,185.0,37.0,31.0,2003,2486.0,,
159,1478 Church St,San Francisco,94131,4,3.0,2590.0,2295000.0,8851.0,1.0,1.0,,Lowest,59.0,601.0,127.0,177.0,1900,2077.0,8711.0,652272.0
160,325 Surrey St,San Francisco,94131,3,2.0,1514.0,1695000.0,6557.0,1.0,1.0,,Lowest,59.0,225.0,54.0,48.0,,2587.0,1338.0,45746.0
161,621 Teresita Blvd,San Francisco,94127,4,4.0,,2295000.0,8851.0,1.0,1.0,,Lowest,71.0,189.0,33.0,32.0,1962,3990.0,13504.0,1124529.0
162,2196 Jackson St,San Francisco,94115,5,5.0,5025.0,6500000.0,24933.0,1.0,1.0,,Lowest,49.0,991.0,216.0,341.0,1902,3635.0,55494.0,4575663.0
163,54 Elizabeth St #56,San Francisco,94110,2,1.0,709.0,699950.0,3100.0,1.0,1.0,,Lowest,40.0,744.0,162.0,246.0,1900,2848.0,,
164,17 Presidio Ter,San Francisco,94118,6,8.0,10040.0,20000000.0,77285.0,1.0,1.0,,Lowest,49.0,273.0,43.0,54.0,2010,0.0,105457.0,8744603.0
165,2839 Pacific Ave,San Francisco,94115,5,6.0,8650.0,16950000.0,64897.0,1.0,1.0,,Lowest,49.0,546.0,89.0,180.0,1912,5745.0,147478.0,12292177.0
166,200 Naples St,San Francisco,94112,3,3.0,2044.0,1188000.0,4618.0,1.0,1.0,,Lowest,62.0,167.0,39.0,33.0,1907,2495.0,14002.0,1050900.0
167,31 Miramar Ave,San Francisco,94112,3,2.0,2064.0,1495000.0,5793.0,1.0,1.0,,Lowest,62.0,201.0,49.0,24.0,1929,2809.0,15012.0,1186652.0
168,280 Monterey Blvd,San Francisco,94131,5,3.0,2589.0,1799000.0,6954.0,1.0,1.0,,Lowest,59.0,185.0,37.0,31.0,2003,2486.0,,
169,225 Guttenberg St,San Francisco,94112,3,2.0,1298.0,899000.0,3513.0,1.0,1.0,,Lowest,62.0,135.0,30.0,18.0,1959,2123.0,880.0,71133.0
170,4626 25th St,San Francisco,94114,4,2.0,2712.0,2998000.0,11540.0,1.0,1.0,,Lowest,51.0,294.0,64.0,88.0,1938,2748.0,24159.0,1856742.0
171,2828 Vallejo St,San Francisco,94123,8,9.0,10345.0,28000000.0,107154.0,1.0,1.0,,Lowest,59.0,444.0,76.0,137.0,1906,11343.0,9164.0,762417.0
172,1563 38th Ave,San Francisco,94122,2,1.0,1150.0,1250000.0,4855.0,1.0,1.0,,Lowest,63.0,146.0,29.0,24.0,1939,2996.0,5591.0,396282.0
173,547 Missouri St,San Francisco,94107,5,6.0,,5500000.0,21109.0,1.0,1.0,,Lowest,57.0,439.0,91.0,122.0,1900,2500.0,57118.0,4700000.0
174,150 32nd Ave,San Francisco,94121,6,4.0,4861.0,4850000.0,18623.0,1.0,1.0,,Lowest,60.0,154.0,21.0,18.0,1914,3188.0,2978.0,182556.0
175,1400 Montgomery St #1404,San Francisco,94133,6,8.0,5465.0,6995000.0,26826.0,1.0,1.0,,Lowest,27.0,1355.0,256.0,426.0,1984,1406.0,,
176,7 Juri St,San Francisco,94110,3,2.0,1577.0,2295000.0,8851.0,1.0,1.0,,Lowest,40.0,704.0,152.0,227.0,1900,2042.0,26216.0,2121564.0
177,1375 Kansas St,San Francisco,94107,3,2.0,1724.0,1649000.0,6382.0,1.0,1.0,,Lowest,57.0,615.0,143.0,173.0,1910,1873.0,2373.0,195728.0
178,3526 19th St,San Francisco,94110,4,5.0,3210.0,4500000.0,17285.0,1.0,1.0,,Moderate,40.0,928.0,169.0,345.0,2002,2500.0,,
179,378 Collingwood St,San Francisco,94114,3,3.0,2820.0,5700000.0,21874.0,1.0,1.0,,Lowest,51.0,661.0,130.0,234.0,1940,2570.0,,
180,2728 Green St,San Francisco,94123,6,6.0,6040.0,13250000.0,50747.0,1.0,1.0,,Lowest,59.0,424.0,73.0,132.0,1911,2961.0,104705.0,8666522.0
181,135 Manor Dr,San Francisco,94127,2,2.0,1212.0,1095000.0,4262.0,1.0,1.0,,Lowest,71.0,175.0,37.0,23.0,1928,2805.0,920.0,74517.0
182,4 Russian Hill Pl,San Francisco,94133,3,3.0,,5700000.0,21874.0,1.0,1.0,,Lowest,27.0,1729.0,328.0,564.0,1951,0.0,17003.0,1363941.0
183,459 & 461 Potrero Ave,San Francisco,94110,5,4.0,2592.0,1850000.0,7150.0,1.0,1.0,,Moderate,40.0,743.0,160.0,260.0,1906,2500.0,,
184,1465 York St,San Francisco,94110,4,2.0,1599.0,1699999.0,6576.0,1.0,1.0,,Low,40.0,648.0,161.0,174.0,1923,2495.0,1767.0,85646.0
185,530 Vienna St,San Francisco,94112,3,2.0,2154.0,1098000.0,4274.0,1.0,1.0,,Lowest,62.0,137.0,29.0,22.0,1926,2500.0,3505.0,237705.0
186,1010 Silliman St,San Francisco,94134,5,4.0,2417.0,1995000.0,7705.0,1.0,1.0,,Lowest,71.0,236.0,58.0,51.0,,2395.0,15526.0,1236593.0
187,3095 23rd Ave,San Francisco,94132,6,3.0,3365.0,2495000.0,9616.0,1.0,1.0,,Lowest,68.0,168.0,30.0,22.0,1936,3876.0,10302.0,793650.0
188,3878 Jackson St,San Francisco,94118,4,4.0,4609.0,7795000.0,29885.0,1.0,1.0,,Lowest,49.0,268.0,40.0,63.0,1906,2548.0,88634.0,7340912.0
189,1 Ignacio Ave,San Francisco,94124,3,3.0,2044.0,1500000.0,5812.0,1.0,2.0,,Lowest,64.0,59.0,31.0,9.0,1941,7660.0,17074.0,1362922.0
190,114 Shields St,San Francisco,94132,3,1.0,1121.0,899000.0,3513.0,1.0,1.0,,Lowest,68.0,170.0,41.0,14.0,1951,1690.0,6484.0,486271.0
191,4258 26th St,San Francisco,94131,5,5.0,3980.0,6500000.0,24933.0,1.0,1.0,,Lowest,59.0,460.0,98.0,148.0,1890,2964.0,53799.0,4434261.0
192,71 Curtis St #71A,San Francisco,94112,3,2.0,2177.0,1198000.0,4657.0,1.0,1.0,,High,62.0,140.0,27.0,18.0,1925,2495.0,17000.0,1352520.0
193,224 Sea Cliff Ave,San Francisco,94121,6,7.0,7170.0,17500000.0,67000.0,1.0,1.0,,Lowest,60.0,174.0,26.0,23.0,1926,8150.0,122661.0,9270259.0
194,115 Highland Ave,San Francisco,94110,3,3.0,1920.0,1688000.0,6530.0,1.0,1.0,,Moderate,40.0,433.0,101.0,84.0,1906,2495.0,6702.0,493269.0
195,928 Castro St,San Francisco,94114,3,3.0,1850.0,2500000.0,9636.0,1.0,1.0,,Lowest,51.0,615.0,123.0,206.0,1908,2622.0,7559.0,575934.0
196,2555 Union St,San Francisco,94123,4,4.0,6024.0,14200000.0,54379.0,1.0,1.0,,Lowest,59.0,491.0,80.0,157.0,2006,3867.0,129201.0,10714653.0
197,176 Merced Ave,San Francisco,94127,2,2.0,1674.0,1475000.0,5716.0,1.0,1.0,,Lowest,71.0,119.0,15.0,20.0,1950,3123.0,17486.0,1404277.0
198,1163 Shotwell St #1165,San Francisco,94110,5,5.0,4021.0,4195000.0,16118.0,1.0,1.0,,Moderate,40.0,701.0,163.0,196.0,1900,3206.0,,
199,2306 Geary Blvd,San Francisco,94115,4,3.0,2050.0,1299000.0,5042.0,1.0,1.0,,Low,49.0,652.0,117.0,218.0,1904,0.0,12362.0,965528.0
200,1710 Diamond St,San Francisco,94131,4,5.0,3645.0,4498800.0,17280.0,1.0,1.0,,Lowest,59.0,343.0,83.0,88.0,2014,2027.0,48914.0,4011122.0
201,89 Bitting Ave,San Francisco,94124,3,2.0,1394.0,995000.0,3902.0,1.0,2.0,,Lowest,64.0,171.0,69.0,22.0,1999,2006.0,8354.0,642278.0
202,1286 26th Ave,San Francisco,94122,3,3.0,2533.0,1899000.0,7337.0,1.0,1.0,,Lowest,63.0,272.0,39.0,38.0,1913,2375.0,13493.0,1059954.0
203,476 Hickory St,San Francisco,94102,2,2.0,1400.0,1695000.0,6557.0,1.0,1.0,,Moderate,19.0,1299.0,217.0,521.0,1900,900.0,22744.0,1836000.0
204,44 Stonecrest Dr,San Francisco,94132,4,5.0,4084.0,3386000.0,13024.0,1.0,1.0,,Lowest,68.0,186.0,32.0,23.0,1939,9626.0,12805.0,1013670.0
205,2232 Bush St,San Francisco,94115,4,4.0,6374.0,6200000.0,23786.0,1.0,1.0,,Low,49.0,965.0,180.0,334.0,1919,3188.0,27374.0,2217975.0
206,706 18th Ave,San Francisco,94121,4,2.0,2003.0,1868888.0,7222.0,1.0,1.0,,Lowest,60.0,404.0,56.0,66.0,1922,2063.0,7194.0,541157.0
207,2780 Broadway St,San Francisco,94115,4,6.0,6000.0,19995000.0,76541.0,1.0,1.0,,Lowest,49.0,458.0,77.0,151.0,1962,3461.0,222621.0,18509588.0
208,2831 Kirkham St,San Francisco,94122,3,2.0,1828.0,1295000.0,5027.0,1.0,1.0,,Lowest,63.0,169.0,29.0,23.0,1935,3000.0,14297.0,1127050.0
209,71 Marston Ave,San Francisco,94112,6,6.0,2520.0,1788000.0,6912.0,1.0,1.0,,Lowest,62.0,166.0,36.0,25.0,1926,2809.0,8585.0,661563.0
210,224 Laidley St,San Francisco,94131,4,5.0,,6195000.0,23766.0,1.0,1.0,,Lowest,59.0,361.0,81.0,70.0,,1999.0,29672.0,2405600.0
211,918 Kansas St,San Francisco,94107,4,4.0,3200.0,3200000.0,12313.0,1.0,1.0,,Lowest,57.0,730.0,148.0,248.0,1957,5505.0,18876.0,1509124.0
212,405 Beacon St,San Francisco,94131,3,2.0,1309.0,1595000.0,6175.0,1.0,1.0,,Lowest,59.0,294.0,78.0,75.0,1970,4183.0,11670.0,919006.0
213,461 Melrose Ave,San Francisco,94127,3,4.0,2525.0,2400000.0,9253.0,1.0,1.0,,Lowest,71.0,164.0,30.0,26.0,,2500.0,12385.0,1020000.0
214,4353 17th St,San Francisco,94114,1,1.0,685.0,899000.0,3513.0,1.0,1.0,,Lowest,51.0,496.0,98.0,166.0,1909,1123.0,12427.0,971003.0
215,685 Capp St,San Francisco,94110,3,2.0,1496.0,1295000.0,5027.0,1.0,1.0,,Moderate,40.0,825.0,168.0,294.0,1900,1084.0,5042.0,350438.0
216,254 20th Ave,San Francisco,94121,4,4.0,3257.0,3495000.0,13440.0,1.0,1.0,,Lowest,60.0,273.0,40.0,52.0,1912,3000.0,41130.0,3366000.0
217,1785 Alabama St #1785,San Francisco,94110,3,2.0,1400.0,1299000.0,5042.0,1.0,1.0,,Lowest,40.0,540.0,143.0,131.0,1909,1999.0,,
218,517 Nevada St,San Francisco,94110,4,2.0,1645.0,1295000.0,5027.0,1.0,1.0,,Lowest,40.0,339.0,104.0,71.0,1900,1750.0,1954.0,101324.0
219,2258 26th Ave,San Francisco,94116,3,2.0,2193.0,1695000.0,6557.0,1.0,1.0,,Lowest,67.0,169.0,31.0,24.0,1927,2996.0,1727.0,89308.0
220,69 Pearl St,San Francisco,94103,4,3.0,1763.0,1348000.0,5555.0,1.0,1.0,,Moderate,32.0,1163.0,214.0,471.0,1907,,,
221,319 22nd Ave,San Francisco,94121,4,3.0,2311.0,2250000.0,8679.0,1.0,1.0,,Lowest,60.0,270.0,39.0,52.0,1906,3000.0,12120.0,956558.0
222,275 Shipley St,San Francisco,94107,3,4.0,2915.0,4000000.0,15372.0,1.0,1.0,,High,57.0,1831.0,236.0,602.0,1906,3750.0,25736.0,2017606.0
223,2707 Larkin St,San Francisco,94109,4,8.0,5371.0,11500000.0,44054.0,1.0,1.0,,Lowest,34.0,991.0,240.0,354.0,1900,3713.0,38586.0,3153663.0
224,542 Rhode Island St,San Francisco,94107,3,2.0,,2398000.0,9246.0,1.0,1.0,,Lowest,57.0,909.0,150.0,315.0,1938,2500.0,19591.0,1512793.0
225,454 Greenwich St,San Francisco,94133,2,2.0,1700.0,2500000.0,9636.0,1.0,1.0,,Lowest,27.0,1306.0,254.0,410.0,1928,1202.0,23832.0,1929479.0
226,17 Guy Pl,San Francisco,94105,8,9.0,7680.0,15000000.0,57439.0,1.0,1.0,,Moderate,40.0,1562.0,272.0,497.0,2020,0.0,,
227,2178 18th Ave,San Francisco,94116,5,5.0,2764.0,2168000.0,8366.0,1.0,1.0,,Lowest,67.0,221.0,33.0,26.0,1928,3606.0,25507.0,2069348.0
228,849 Sanchez St,San Francisco,94114,3,4.0,2925.0,5195000.0,19943.0,1.0,1.0,,Lowest,51.0,723.0,147.0,245.0,1938,2212.0,53978.0,4437969.0
229,1254 Quesada Ave,San Francisco,94124,4,2.0,1515.0,799000.0,3130.0,1.0,2.0,,Moderate,64.0,99.0,42.0,13.0,1966,2500.0,6583.0,483355.0
230,700 Victoria St,San Francisco,94127,3,2.0,2075.0,1800000.0,6959.0,1.0,1.0,,Lowest,71.0,173.0,38.0,21.0,1923,6185.0,1029.0,83605.0
231,9 Apollo St,San Francisco,94124,3,1.0,987.0,798000.0,3127.0,1.0,2.0,,Lowest,64.0,181.0,69.0,26.0,1943,1642.0,9121.0,695088.0
232,31 Lobos St,San Francisco,94112,3,2.0,1726.0,1159000.0,4507.0,1.0,1.0,,Lowest,62.0,168.0,41.0,20.0,1974,3123.0,1034.0,84019.0
233,1787 Alabama St #1787,San Francisco,94110,2,1.0,1200.0,899000.0,3513.0,1.0,1.0,,Lowest,40.0,540.0,143.0,131.0,1909,1999.0,,
234,8 Mateo St,San Francisco,94131,3,3.0,,1550000.0,6002.0,1.0,1.0,,Lowest,59.0,289.0,73.0,63.0,1900,2796.0,20187.0,1629643.0
235,1244 16th Ave,San Francisco,94122,4,2.0,,1965000.0,7590.0,1.0,1.0,,Lowest,63.0,291.0,42.0,42.0,1908,2500.0,7253.0,539235.0
236,6 San Pablo Ave,San Francisco,94127,5,6.0,3992.0,3290000.0,12824.0,1.0,1.0,,Lowest,71.0,153.0,29.0,21.0,1926,5248.0,24299.0,1961562.0
237,4319 25th St,San Francisco,94114,4,5.0,2893.0,3995000.0,15353.0,1.0,1.0,,Lowest,51.0,435.0,93.0,135.0,1903,3036.0,23758.0,1920600.0
238,21 Roscoe St,San Francisco,94110,2,2.0,1191.0,1349000.0,5234.0,1.0,1.0,,Low,40.0,305.0,78.0,64.0,1900,1261.0,2648.0,218654.0
239,2510 Steiner St,San Francisco,94115,2,3.0,1823.0,5500000.0,21109.0,1.0,1.0,,Lowest,49.0,670.0,124.0,221.0,1870,3266.0,42605.0,3552690.0
240,276 Ripley St,San Francisco,94110,4,4.0,2458.0,3295000.0,12676.0,1.0,1.0,,Lowest,40.0,532.0,143.0,121.0,1914,6298.0,,
241,2360 30th Ave,San Francisco,94116,3,3.0,1924.0,1395000.0,5410.0,1.0,1.0,,Lowest,67.0,176.0,30.0,24.0,1915,3000.0,2913.0,415928.0
242,199 Marina Blvd,San Francisco,94123,4,3.0,2897.0,4999888.0,19196.0,1.0,1.0,,Low,59.0,356.0,66.0,121.0,1937,3240.0,,
243,277 Bradford St,San Francisco,94110,3,2.0,1268.0,1695000.0,6557.0,1.0,1.0,,Lowest,40.0,403.0,120.0,76.0,1962,1751.0,15899.0,1260710.0
244,2950 Pacific Ave,San Francisco,94115,8,13.0,20000.0,29500000.0,112891.0,1.0,1.0,,Lowest,49.0,482.0,81.0,155.0,1907,12209.0,201865.0,16777696.0
245,1767 43rd Ave,San Francisco,94122,3,2.0,1525.0,1449000.0,5616.0,1.0,1.0,,Lowest,63.0,70.0,14.0,16.0,1945,2909.0,11441.0,884340.0
246,528 Nevada St,San Francisco,94110,3,3.0,2262.0,1649000.0,6382.0,1.0,1.0,,Lowest,40.0,339.0,104.0,71.0,1998,1751.0,10894.0,854232.0
247,72 Bruce Ave #72,San Francisco,94112,7,4.0,2416.0,1588000.0,6148.0,1.0,1.0,,Lowest,62.0,182.0,38.0,23.0,1908,2809.0,9904.0,760504.0
248,2166 20th Ave,San Francisco,94116,5,4.0,2481.0,1848888.0,7145.0,1.0,1.0,,Lowest,67.0,209.0,30.0,24.0,1930,3001.0,12308.0,915715.0
249,420 Buchanan St,San Francisco,94102,2,1.0,,1995000.0,7705.0,1.0,1.0,,Low,19.0,1242.0,215.0,497.0,1895,1575.0,11328.0,938773.0
250,722 Girard St,San Francisco,94134,5,3.0,2480.0,1199000.0,4660.0,1.0,1.0,,Moderate,71.0,135.0,50.0,17.0,1907,3998.0,13665.0,1020000.0
251,446 23rd Ave,San Francisco,94121,3,2.0,1800.0,1889000.0,7299.0,1.0,1.0,,Lowest,60.0,314.0,51.0,55.0,1916,2996.0,12362.0,979984.0
252,1901 Scott St,San Francisco,94115,5,7.0,,12800000.0,49026.0,1.0,1.0,,Lowest,49.0,735.0,130.0,249.0,1870,18905.0,61628.0,5087476.0
253,2070 Pine St,San Francisco,94115,5,4.0,4400.0,5590000.0,21453.0,1.0,1.0,,Lowest,49.0,1157.0,213.0,429.0,1900,2347.0,,
254,10 Sea Cliff Ave,San Francisco,94121,4,4.0,3420.0,7200000.0,27610.0,1.0,1.0,,Lowest,60.0,197.0,34.0,36.0,1915,3497.0,18331.0,1467818.0
255,2533 Folsom St,San Francisco,94110,4,4.0,2558.0,3250000.0,12504.0,1.0,1.0,,Moderate,40.0,870.0,170.0,307.0,1900,5540.0,30693.0,2506280.0
256,17 Olympia Way,San Francisco,94131,5,3.0,1533.0,1498000.0,5805.0,1.0,1.0,,Lowest,59.0,214.0,31.0,44.0,1956,2949.0,11226.0,881935.0
257,2936 Scott St,San Francisco,94123,6,5.0,5780.0,8500000.0,32581.0,1.0,1.0,,Lowest,59.0,491.0,81.0,159.0,1909,3803.0,30403.0,2470917.0
258,3259 Clay St #3261,San Francisco,94115,6,7.0,6000.0,8995000.0,34474.0,1.0,1.0,,Lowest,49.0,479.0,84.0,146.0,1912,3681.0,,
259,2700 Pierce St,San Francisco,94123,6,7.0,6945.0,12100000.0,46349.0,1.0,1.0,,Lowest,59.0,562.0,98.0,189.0,1907,5262.0,120214.0,9964760.0
260,1324 20th St,San Francisco,94107,2,1.0,1000.0,1295000.0,5027.0,1.0,1.0,,Lowest,57.0,400.0,84.0,104.0,1925,1646.0,17748.0,1426101.0
261,2755 Fillmore St,San Francisco,94123,4,5.0,5142.0,13999000.0,53611.0,1.0,1.0,,Lowest,59.0,656.0,123.0,224.0,1986,3000.0,169306.0,14061005.0
262,533 Laidley St,San Francisco,94131,4,4.0,3310.0,3695000.0,14206.0,1.0,1.0,,Low,59.0,261.0,63.0,57.0,2012,2495.0,36550.0,2983840.0
263,2 Everson St,San Francisco,94131,4,6.0,6230.0,12000000.0,45966.0,1.0,1.0,,Lowest,59.0,339.0,83.0,74.0,1971,9962.0,58891.0,4843577.0
264,1547 Revere Ave,San Francisco,94124,5,4.0,2614.0,1388000.0,5383.0,1.0,2.0,,Moderate,64.0,166.0,58.0,23.0,1925,2495.0,8541.0,568115.0
265,2626 Filbert St,San Francisco,94123,4,5.0,4185.0,15980000.0,61187.0,1.0,1.0,,Lowest,59.0,404.0,66.0,135.0,2016,3850.0,91079.0,7529418.0
266,2640 Jackson St,San Francisco,94115,9,8.0,7772.0,14950000.0,57248.0,1.0,1.0,,Lowest,49.0,598.0,109.0,204.0,1889,5819.0,7291.0,549407.0
267,2956 19th Ave,San Francisco,94132,4,3.0,2512.0,1948888.0,7528.0,1.0,1.0,,Lowest,68.0,174.0,30.0,23.0,1936,4305.0,10069.0,797874.0
268,3132 Laguna St,San Francisco,94123,2,1.0,,1795000.0,6939.0,1.0,1.0,,Low,59.0,716.0,162.0,250.0,1900,2125.0,12514.0,978221.0
269,749 Guerrero St,San Francisco,94110,3,2.0,1575.0,1799000.0,6954.0,1.0,1.0,,Lowest,40.0,883.0,169.0,329.0,1909,2430.0,22033.0,1772480.0
270,166 Highland Ave,San Francisco,94110,4,2.0,1909.0,1495000.0,5793.0,1.0,1.0,,Moderate,40.0,400.0,96.0,79.0,1900,2495.0,19790.0,1581000.0
271,534 Valley St,San Francisco,94131,4,4.0,,3995000.0,15353.0,1.0,1.0,,Lowest,59.0,377.0,91.0,101.0,,2848.0,19400.0,1557000.0
272,42 Cameo Way,San Francisco,94131,4,3.0,2518.0,2295000.0,8851.0,1.0,1.0,,Lowest,59.0,170.0,40.0,42.0,1962,3998.0,14102.0,1110729.0
273,35 Broadmoor Dr,San Francisco,94132,5,4.0,2719.0,2800000.0,10789.0,1.0,1.0,,Lowest,68.0,190.0,34.0,22.0,1942,6059.0,11105.0,871868.0
274,875 Francisco St,San Francisco,94109,4,5.0,6330.0,13500000.0,51703.0,1.0,1.0,,Lowest,34.0,986.0,232.0,344.0,1915,3576.0,22814.0,1901309.0
275,617 York St,San Francisco,94110,2,1.0,1051.0,1200000.0,4664.0,1.0,1.0,,Lowest,40.0,929.0,159.0,331.0,1900,2495.0,4140.0,279525.0
276,214 States St,San Francisco,94114,3,,1500.0,1495000.0,5793.0,1.0,1.0,,Lowest,51.0,590.0,116.0,216.0,1910,3123.0,13216.0,1036821.0
277,942 Ingerson Ave,San Francisco,94124,3,2.0,,925000.0,3612.0,1.0,2.0,,Low,64.0,83.0,40.0,11.0,1900,2495.0,6853.0,510063.0
278,3690 21st St,San Francisco,94114,2,4.0,4700.0,11850000.0,45392.0,1.0,1.0,,Lowest,51.0,751.0,154.0,256.0,1930,5985.0,68236.0,5638835.0
279,461 Allison St,San Francisco,94112,2,1.0,925.0,795000.0,3115.0,1.0,1.0,,Lowest,62.0,115.0,25.0,16.0,1962,3219.0,6828.0,503834.0
280,1526 Palou Ave,San Francisco,94124,4,4.0,2138.0,998000.0,3891.0,1.0,2.0,,High,64.0,177.0,62.0,24.0,1914,2495.0,8968.0,689345.0
281,1183 Munich St,San Francisco,94112,2,1.0,1272.0,1050000.0,4090.0,1.0,1.0,,Lowest,62.0,128.0,27.0,16.0,1927,2848.0,8246.0,622092.0
282,929 Rhode Island St,San Francisco,94107,5,3.0,2394.0,1859000.0,7184.0,1.0,1.0,,Lowest,57.0,708.0,143.0,233.0,1904,4511.0,12905.0,1022017.0
283,283 Ramsell St,San Francisco,94132,2,1.0,1000.0,829000.0,3245.0,1.0,1.0,,Lowest,68.0,153.0,39.0,14.0,1941,2495.0,7578.0,540466.0
284,140 Everglade Dr,San Francisco,94132,4,2.0,2092.0,1595000.0,6175.0,1.0,1.0,,Lowest,68.0,141.0,22.0,20.0,1951,3219.0,6965.0,515255.0
285,438 17th Ave,San Francisco,94121,3,3.0,2380.0,2250000.0,8679.0,1.0,1.0,,Low,60.0,360.0,53.0,61.0,1916,3000.0,9080.0,702900.0
286,75 Santa Barbara Ave,San Francisco,94112,4,3.0,1880.0,998000.0,3891.0,1.0,1.0,,Lowest,62.0,158.0,39.0,14.0,1982,2387.0,10954.0,859224.0
287,195 San Anselmo Ave,San Francisco,94127,5,4.0,3660.0,3800000.0,14843.0,1.0,1.0,,Lowest,71.0,169.0,31.0,22.0,1926,5954.0,32131.0,2615095.0
288,653 28th St,San Francisco,94131,5,6.0,4105.0,6195000.0,23766.0,1.0,1.0,,Lowest,59.0,325.0,75.0,85.0,,2905.0,21339.0,1714595.0
289,1230 Sacramento St,San Francisco,94108,4,3.0,4822.0,7995000.0,30616.0,1.0,1.0,,Lowest,20.0,1994.0,368.0,664.0,1916,3297.0,124709.0,10346777.0
290,278 Monterey Blvd,San Francisco,94131,3,3.0,1776.0,1199000.0,4655.0,1.0,1.0,,Lowest,59.0,185.0,37.0,31.0,2003,2486.0,,
291,1328 York St,San Francisco,94110,3,1.0,1200.0,1375000.0,5328.0,1.0,1.0,,Low,40.0,700.0,168.0,200.0,1918,2596.0,19132.0,1534590.0
292,1330 Plymouth Ave,San Francisco,94112,4,3.0,1985.0,1999000.0,7723.0,1.0,1.0,,Lowest,62.0,207.0,45.0,30.0,1923,4874.0,6526.0,489740.0
293,606 Ellis St,San Francisco,94109,3,2.0,1635.0,1449888.0,5614.0,1.0,1.0,,Highest,34.0,1969.0,343.0,720.0,1907,2186.0,12789.0,912041.0
294,918 Noe St,San Francisco,94114,4,4.0,2705.0,3899000.0,14969.0,1.0,1.0,,Lowest,51.0,666.0,129.0,220.0,1905,2500.0,28954.0,2350000.0
295,583 Corbett Ave,San Francisco,94114,5,6.0,4370.0,3750000.0,14400.0,1.0,1.0,,Lowest,51.0,335.0,71.0,108.0,2002,2078.0,28448.0,2307768.0
296,3160 Jackson St,San Francisco,94115,3,2.0,3029.0,4350000.0,16692.0,1.0,1.0,,Lowest,49.0,460.0,80.0,140.0,1904,5112.0,49278.0,220042.0
297,543 W Crescent Dr,Palo Alto,94301,4,3.0,3218.0,5395000.0,21134.0,1.0,1.0,1.0,Lowest,79.0,127.0,21.0,23.0,1974,0.25,18492.0,1496674.0
